Season,Name,Team,PA,HR,RBI,AVG,SLG,NameASCII,PlayerId,MLBAMID
2017,"José Ramírez","CLE",645,29,83,0.317948717,0.582905982,"Jose Ramirez",13510,608070
2018,"Max Muncy","LAD",481,35,79,0.263291139,0.582278481,"Max Muncy",13301,571970
2017,"Cody Bellinger","LAD",548,39,97,0.266666666,0.58125,"Cody Bellinger",15998,641355
2020,"Ronald Acuña Jr.","ATL",202,14,29,0.25,0.58125,"Ronald Acuna Jr.",18401,660670
2020,"Manny Machado","SDP",254,16,47,0.303571428,0.580357142,"Manny Machado",11493,592518
2020,"Teoscar Hernández","TOR",207,16,34,0.289473684,0.578947368,"Teoscar Hernandez",13066,606192
2023,"Mookie Betts","LAD",693,39,107,0.306506849,0.578767123,"Mookie Betts",13611,605141
2017,"Joey Votto","CIN",707,36,100,0.320214669,0.577817531,"Joey Votto",4314,458015
2022,"Paul Goldschmidt","STL",651,35,115,0.317290552,0.577540106,"Paul Goldschmidt",9218,502671
2019,"Miguel Sanó","MIN",439,34,79,0.247368421,0.576315789,"Miguel Sano",12164,593934
2021,"Nick Castellanos","CIN",585,34,100,0.308851224,0.576271186,"Nick Castellanos",11737,592206
2019,"Charlie Blackmon","COL",634,32,86,0.313793103,0.575862068,"Charlie Blackmon",7859,453568
2019,"Aristides Aquino","CIN",225,19,47,0.258536585,0.575609756,"Aristides Aquino",15482,606157
2015,"Nolan Arenado","COL",665,42,130,0.287337662,0.574675324,"Nolan Arenado",9777,571448
2017,"Ryan Zimmerman","WSN",576,36,108,0.303435114,0.572519083,"Ryan Zimmerman",4220,475582
2019,"Eugenio Suárez","CIN",662,49,103,0.271304347,0.572173913,"Eugenio Suarez",12552,553993
2019,"Howie Kendrick","WSN",370,17,62,0.344311377,0.571856287,"Howie Kendrick",4229,435062
2023,"J.D. Martinez","LAD",479,33,103,0.270833333,0.571759259,"J.D. Martinez",6184,502110
2019,"Bo Bichette","TOR",212,11,21,0.311224489,0.571428571,"Bo Bichette",19612,666182
2020,"Fernando Tatis Jr.","SDP",257,17,45,0.276785714,0.571428571,"Fernando Tatis Jr.",19709,665487
2019,"Keston Hiura","MIL",348,19,49,0.30254777,0.570063694,"Keston Hiura",20003,669374
2015,"Paul Goldschmidt","ARI",695,33,110,0.320987654,0.569664902,"Paul Goldschmidt",9218,502671
2016,"Nolan Arenado","COL",696,41,133,0.294498381,0.569579288,"Nolan Arenado",9777,571448
2019,"Josh Bell","PIT",613,37,116,0.277039848,0.569259962,"Josh Bell",13145,605137
2016,"Freddie Freeman","ATL",693,34,91,0.30220713,0.568760611,"Freddie Freeman",5361,518692
2019,"Jorge Soler","KCR",679,48,117,0.264855687,0.568760611,"Jorge Soler",14221,624585
